WITTCASE NUMBER: HB001304
SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RFA     	  RFA'		  MPA     	  MPA'		
 73.98   	 142.42		 48.87   	  45.78		
 74.55   	 142.42		 49.05   	  45.78		
 75.12   	 127.16		 49.24   	  35.61		
 75.63   	 116.99		 49.38   	  30.52		
 76.09   	  91.56		 49.50   	  25.43		
 76.46   	  76.30		 49.60   	  20.35		
 76.76   	  55.95		 49.68   	  15.26		
 76.99   	  50.86		 49.75   	   5.09		
 77.19   	  40.69		 49.77   	   5.09		
 77.35   	  30.52		 49.79(S)	 -10.17		
 77.48   	  25.43		 49.75   	 -10.17		
 77.58   	  20.35		 49.70   	 -20.35		
 77.66   	   5.09		 49.62   	 -15.26		
 77.68   	   5.09		 49.56   	 -20.35		
 77.70(S)	   0.00		 49.48   	 -25.43		
 77.70   	  -5.09		 49.38   	 -30.52		
 77.68   	 -10.17		 49.26   	 -45.78		
 77.64   	 -20.35		 49.07   	 -66.12		
 77.56   	 -25.43		 48.81   	 -81.38		
 77.46   	 -40.69		 48.48   	 -76.30		
 77.29   	 -45.78		 48.18   	 -91.56		
 77.11   	 -50.86		 47.81   	-137.33		
 76.91   	 -50.86		 47.26   	-167.85		
 76.70   	 -55.95		 46.59   	-193.29		
 76.48   	 -61.04		 45.82   	-233.98		
 76.24   	 -71.21		 44.88   	-254.32		
 75.95   	 -76.30		 43.87   	-233.98		
 75.65   	 -76.30		 42.93   	-188.20		
 75.34   	 -71.21		 42.18   	-157.68		
 75.06   	 -81.38		 41.55   	-111.90		
 74.73   	 -91.56		 41.10   	 -91.56		
 74.36   	-101.73		 40.73   	 -66.12		
 73.96   	-111.90		 40.47   	 -45.78		
 73.51   	-122.07		 40.28   	 -30.52		
 73.02   	-127.16		 40.16   	 -15.26		
 72.51   	-127.16		 40.10   	 -15.26		
 72.00   	-132.25		 40.04   	 -10.17		
 71.47   	-147.51		 40.00   	 -20.35		
 70.88   	-157.68		 39.92   	 -25.43		
 70.25   	-157.68		 39.82   	 -40.69		
 69.62   	-167.85		 39.65   	 -55.95		
 68.95   	-157.68		 39.43   	 -71.21		
 68.32   	-162.77		 39.15   	 -81.38		
 67.67   	-147.51		 38.82   	 -96.64		
 67.08   	-142.42		 38.43   	-111.90		
 66.51   	-132.25		 37.99   	-132.25		
 65.98   	-122.07		 37.46   	-147.51		
 65.49   	-106.82		 36.87   	-152.59		
 65.07   	 -96.64		 36.26   	-137.33		
 64.68   	 -86.47		 35.71   	-101.73		
 64.33   	 -91.56		 35.30   	 -61.04		
 63.97   	 -86.47		 35.06   	 -30.52		
 63.62   	 -91.56		 34.93   	 -25.43		
 63.26   	 -91.56		 34.83   	 -35.61		
 62.89   	 -86.47		 34.69   	 -40.69		
 62.54   	 -86.47		 34.53   	 -61.04		
 62.20   	 -76.30		 34.28   	 -86.47		
 61.89   	 -76.30		 33.94   	 -96.64		
 61.59   	 -71.21		 33.55   	-116.99		
 61.30   	 -71.21		 33.08   	-116.99		
 61.02   	 -71.21		 32.61   	-111.90		
 60.73   	 -71.21		 32.17   	-111.90		
 60.45   	 -71.21		 31.72   	-106.82		
 60.16   	 -61.04		 31.29   	-101.73		
 59.92   	 -66.12		 30.88   	 -91.56		
 59.65   	 -61.04		 30.52   	 -81.38		
 59.41   	 -61.04		 30.19   	 -76.30		
 59.17   	 -66.12		 29.89   	 -91.56		
 58.90   	 -45.78		 29.52   	 -86.47		
 58.72   	 -30.52		 29.18   	 -66.12		
 58.60   	 -30.52		 28.91   	 -71.21		
 58.47   	 -30.52		 28.63   	 -71.21		
 58.35   	 -40.69		 28.34   	 -66.12		
 58.19   	 -40.69		 28.08   	 -66.12		
 58.03   	 -45.78		 27.81   	 -66.12		
 57.84   	 -40.69		 27.55   	 -66.12		
 57.68   	 -40.69		 27.28   	 -66.12		
 57.52   	 -40.69		 27.02   	 -61.04		
 57.35   	 -35.61		 26.78   	 -61.04		
 57.21   	 -35.61		 26.53   	 -55.95		
 57.07   	 -40.69		 26.31   	 -50.86		
 56.91   	 -35.61		 26.10   	 -50.86		
 56.76   	 -30.52		 25.90   	 -50.86		
 56.64   	 -30.52		 25.70   	 -50.86		
 56.52   	 -30.52		 25.49   	 -45.78		
 56.40   	 -30.52		 25.31   	 -40.69		
 56.28   	 -35.61		 25.15   	 -45.78		
 56.13   	 -40.69		 24.96   	 -50.86		
 55.97   	 -35.61		 24.76   	 -50.86		
 55.83   	 -45.78		 24.56   	 -55.95		
 55.65   	 -40.69		 24.33   	 -55.95		
 55.48   	 -35.61		 24.11   	 -61.04		
 55.34   	 -30.52		 23.87   	 -55.95		
 55.22   	 -30.52		 23.64   	 -61.04		
 55.10   	 -35.61		 23.40   	 -55.95		
 54.95   	 -35.61		 23.17   	 -71.21		
 54.81   	 -35.61		 22.89   	 -66.12		
 54.67   	 -35.61		 22.62   	 -66.12		
 54.53   	 -35.61		 22.36   	 -66.12		
 54.38   	 -35.61		 22.10   	 -76.30		
 54.24   	 -30.52		 21.79   	 -96.64		
 54.12   	 -30.52		 21.40   	 -96.64		
 54.00   	 -30.52		 21.02   	 -86.47		
 53.88   	 -30.52		 20.67   	 -76.30		
 53.75   	 -25.43		 20.37   	 -66.12		
 53.65   	 -30.52		 20.10   	 -45.78		
 53.53   	 -30.52		 19.92   	 -40.69		
 53.41   	 -30.52		 19.76   	 -30.52		
 53.29   	 -30.52		 19.63   	 -25.43		
 53.16   	 -35.61		 19.53   	 -30.52		
 53.02   	 -35.61		 19.41   	 -30.52		
 52.88   	 -30.52		 19.29   	 -35.61		
 52.76   	 -30.52		 19.15   	 -45.78		
 52.63   	 -30.52		 18.96   	 -55.95		
 52.51   	 -35.61		 18.74   	 -20.35		
 52.37   	 -30.52		 18.66(D)	   5.09		
 52.25   	 -30.52		 18.68   	  10.17		
 52.13   	 -35.61		 18.72   	  15.26		
 51.98   	 -25.43		 18.78   	  35.61		
 51.88   	 -30.52		 18.92   	  50.86		
 51.76   	 -25.43		 19.13   	  76.30		
 51.66   	 -30.52		 19.43   	 106.82		
 51.54   	 -30.52		 19.86   	 122.07		
 51.41   	 -25.43		 20.35   	 142.42		
 51.31   	 -30.52		 20.92   	 162.77		
 51.19   	 -25.43		 21.57   	 188.20		
 51.09   	 -25.43		 22.32   	 203.46		
 50.99   	 -30.52		 23.13   	 223.80		
 50.86   	 -30.52		 24.03   	 239.06		
 50.74   	 -25.43		 24.98   	 239.06		
 50.64   	 -30.52		 25.94   	 239.06		
 50.52   	 -25.43		 26.90   	 244.15		
 50.42   	 -30.52		 27.87   	 233.98		
 50.29   	 -30.52		 28.81   	 223.80		
 50.17   	 -35.61		 29.70   	 213.63		
 50.03   	 -35.61		 30.56   	 208.54		
 49.89   	 -35.61		 31.39   	 188.20		
 49.75   	 -30.52		 32.15   	 178.03		
 49.62   	 -30.52		 32.86   	 172.94		
 49.50   	 -25.43		 33.55   	 172.94		
 49.40   	 -30.52		 34.24   	 178.03		
 49.28   	 -25.43		 34.95   	 188.20		
 49.18   	 -15.26		 35.71   	 193.29		
 49.11   	 -15.26		 36.48   	 188.20		
 49.05(D)	   5.09		 37.23   	 178.03		
 49.07   	  35.61		 37.94   	 162.77		
 49.22   	  81.38		 38.60   	 157.68		
 49.54   	 137.33		 39.23   	 152.59		
 50.09   	 203.46		 39.84   	 172.94		
 50.91   	 269.58		 40.53   	 157.68		
 51.98   	 320.45		 41.16   	 116.99		
 53.27   	 345.88		 41.63   	 111.90		
 54.65   	 366.22		 42.08   	 152.59		
 56.11   	 371.31		 42.69   	 137.33		
 57.60   	 371.31		 43.23   	  91.56		
 59.08   	 366.22		 43.60   	  86.47		
 60.55   	 345.88		 43.95   	 101.73		
 61.93   	 310.27		 44.35   	 101.73		
 63.17   	 274.67		 44.76   	 106.82		
 64.27   	 244.15		 45.19   	 116.99		
 65.25   	 228.89		 45.66   	 127.16		
 66.16   	 218.72		 46.16   	 122.07		
 67.04   	 218.72		 46.65   	 127.16		
 67.91   	 218.72		 47.16   	 116.99		
 68.79   	 228.89		 47.63   	 101.73		
 69.70   	 233.98		 48.04   	  96.64		
 70.64   	 239.06		 48.42   	  86.47		
 71.60   	 244.15		 48.77   	  76.30		
 72.57   	 244.15		 49.07   	  66.12		
 73.55   	 239.06		 49.34   	  55.95		
 74.51   	 213.63		 49.56   	  55.95		
 75.36   	 198.37		 49.79   	  45.78		
 76.15   	 198.37		 49.97   	  40.69		
 76.95   	 193.29		 50.13   	  35.61		
 77.72   	 183.11		 50.27   	  30.52		
 78.45   	 157.68		 50.40   	  30.52		
 79.08   	 132.25		 50.52   	  30.52		
 79.61   	 111.90		 50.64   	  25.43		
 80.06   	  91.56		 50.74   	  30.52		
 80.43   	  76.30		 50.86   	  25.43		
 80.73   	  66.12		 50.97   	  15.26		
 81.00   	  55.95		 51.03   	  10.17		
 81.22   	  40.69		 51.07   	   5.09		
 81.38   	  30.52		 51.09(S)	   0.00		
 81.51   	  20.35		 51.09   	  -5.09		
 81.59   	  15.26		 51.07   	 -20.35		
 81.65   	  10.17		 50.99   	 -25.43		
 81.69   	   5.09		 50.88   	 -30.52		
 81.71(S)	   0.00		 50.76   	 -35.61		
 81.71   	  -5.09		 50.62   	 -50.86		
 81.69   	 -10.17		 50.42   	 -50.86		
 81.65   	 -25.43		 50.21   	 -66.12		
 81.55   	 -35.61		 49.95   	 -81.38		
 81.40   	 -50.86		 49.62   	-101.73		
 81.20   	 -50.86		 49.22   	-127.16		
 81.00   	 -55.95		 48.71   	-132.25		
 80.77   	 -55.95		 48.18   	-142.42		
 80.55   	 -55.95		 47.61   	-183.11		
