WITTCASE NUMBER: HA002439
SAMPLE NUMBER:   31
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  AO     	  AO'		
 43.19   	 -45.78		 82.32   	 -20.35		
 43.01   	 -61.04		 82.24   	 -25.43		
 42.77   	 -66.12		 82.14   	 -20.35		
 42.50   	 -66.12		 82.05   	 -25.43		
 42.24   	 -66.12		 81.95   	 -25.43		
 41.97   	 -66.12		 81.85   	 -25.43		
 41.71   	 -61.04		 81.75   	 -35.61		
 41.46   	 -61.04		 81.61   	 -30.52		
 41.22   	 -55.95		 81.48   	 -30.52		
 41.00   	 -45.78		 81.36   	 -35.61		
 40.81   	 -45.78		 81.22   	 -35.61		
 40.63   	 -35.61		 81.08   	 -35.61		
 40.49   	 -35.61		 80.94   	 -35.61		
 40.35   	 -30.52		 80.79   	 -35.61		
 40.22   	 -30.52		 80.65   	 -35.61		
 40.10   	 -30.52		 80.51   	 -40.69		
 39.98   	 -30.52		 80.35   	 -40.69		
 39.86   	 -35.61		 80.18   	 -40.69		
 39.72   	 -30.52		 80.02   	 -45.78		
 39.59   	 -35.61		 79.84   	 -50.86		
 39.45   	 -35.61		 79.63   	 -45.78		
 39.31   	 -30.52		 79.45   	 -50.86		
 39.19   	 -35.61		 79.25   	 -50.86		
 39.04   	 -35.61		 79.04   	 -50.86		
 38.90   	 -35.61		 78.84   	 -50.86		
 38.76   	 -30.52		 78.64   	 -50.86		
 38.64   	 -35.61		 78.43   	 -45.78		
 38.49   	 -30.52		 78.25   	 -50.86		
 38.37   	 -35.61		 78.05   	 -45.78		
 38.23   	 -35.61		 77.86   	 -50.86		
 38.09   	 -35.61		 77.66   	 -55.95		
 37.94   	 -35.61		 77.44   	 -50.86		
 37.80   	 -30.52		 77.23   	 -50.86		
 37.68   	 -40.69		 77.03   	 -50.86		
 37.52   	 -30.52		 76.83   	 -50.86		
 37.40   	 -35.61		 76.62   	 -50.86		
 37.25   	 -35.61		 76.42   	 -45.78		
 37.11   	 -30.52		 76.24   	 -50.86		
 36.99   	 -30.52		 76.03   	 -45.78		
 36.87   	 -35.61		 75.85   	 -50.86		
 36.72   	 -35.61		 75.65   	 -45.78		
