WITTCASE NUMBER: HB003014
SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RFA     	  RFA'		
  1.26   	  76.30		 59.49   	 -91.56		
  1.57   	  91.56		 59.12   	 -96.64		
  1.93   	  96.64		 58.74   	 -91.56		
  2.32   	 101.73		 58.37   	 -91.56		
  2.73   	  91.56		 58.01   	 -91.56		
  3.09   	  91.56		 57.64   	 -91.56		
  3.46   	  76.30		 57.27   	 -86.47		
  3.76   	  66.12		 56.93   	 -91.56		
  4.03   	  50.86		 56.56   	 -81.38		
  4.23   	  40.69		 56.24   	 -81.38		
  4.39   	  30.52		 55.91   	 -81.38		
  4.52   	  25.43		 55.58   	 -76.30		
  4.62   	  15.26		 55.28   	 -76.30		
  4.68   	   5.09		 54.97   	 -76.30		
  4.70   	   5.09		 54.67   	 -71.21		
  4.72   	   5.09		 54.38   	 -71.21		
  4.74   	   0.00		 54.10   	 -71.21		
  4.74   	   5.09		 53.81   	 -71.21		
  4.76   	   5.09		 53.53   	 -66.12		
  4.78   	   5.09		 53.27   	 -71.21		
  4.80   	   5.09		 52.98   	 -66.12		
  4.82   	  10.17		 52.72   	 -66.12		
  4.86   	  10.17		 52.45   	 -61.04		
  4.90   	  15.26		 52.21   	 -61.04		
  4.96   	  10.17		 51.96   	 -61.04		
  5.01   	  15.26		 51.72   	 -55.95		
  5.07   	  10.17		 51.50   	 -50.86		
  5.11   	  10.17		 51.29   	 -55.95		
  5.15   	  10.17		 51.07   	 -50.86		
  5.19   	   5.09		 50.86   	 -45.78		
  5.21   	   5.09		 50.68   	 -50.86		
  5.23   	  10.17		 50.48   	 -50.86		
  5.27   	   5.09		 50.27   	 -45.78		
  5.29   	  10.17		 50.09   	 -45.78		
  5.33   	  10.17		 49.91   	 -40.69		
  5.37   	  10.17		 49.75   	 -40.69		
  5.41   	  15.26		 49.58   	 -40.69		
  5.47   	  15.26		 49.42   	 -30.52		
  5.53   	  15.26		 49.30   	 -35.61		
  5.60   	  15.26		 49.16   	 -35.61		
  5.66   	  20.35		 49.01   	 -30.52		
  5.74   	  15.26		 48.89   	 -35.61		
  5.80   	  10.17		 48.75   	 -35.61		
  5.84   	  15.26		 48.61   	 -35.61		
  5.90   	   5.09		 48.46   	 -35.61		
  5.92   	  10.17		 48.32   	 -35.61		
  5.96   	   5.09		 48.18   	 -35.61		
  5.98   	   5.09		 48.04   	 -30.52		
  6.00   	   0.00		 47.91   	 -30.52		
  6.00   	   0.00		 47.79   	 -25.43		
  6.00   	   0.00		 47.69   	 -25.43		
  6.00   	  -5.09		 47.59   	 -25.43		
  5.98   	 -10.17		 47.49   	 -25.43		
  5.94   	  -5.09		 47.39   	 -20.35		
  5.92   	  -5.09		 47.30   	 -20.35		
  5.90   	 -10.17		 47.22   	 -25.43		
  5.86   	  -5.09		 47.12   	 -25.43		
  5.84   	   0.00		 47.02   	 -25.43		
  5.84   	   0.00		 46.92   	 -25.43		
  5.84   	  10.17		 46.82   	 -25.43		
  5.88   	  15.26		 46.71   	 -25.43		
  5.94   	  25.43		 46.61   	 -25.43		
  6.04   	  30.52		 46.51   	 -25.43		
  6.16   	  40.69		 46.41   	 -20.35		
  6.33   	  45.78		 46.33   	 -20.35		
  6.51   	  55.95		 46.25   	 -15.26		
  6.73   	  55.95		 46.18   	 -20.35		
  6.96   	  61.04		 46.10   	 -15.26		
  7.20   	  55.95		 46.04   	 -20.35		
  7.43   	  61.04		 45.96   	 -20.35		
  7.67   	  50.86		 45.88   	 -20.35		
  7.87   	  50.86		 45.80   	 -20.35		
  8.08   	  40.69		 45.72   	 -20.35		
  8.24   	  30.52		 45.64   	 -25.43		
  8.36   	  30.52		 45.53   	 -25.43		
  8.48   	  15.26		 45.43   	 -25.43		
  8.55   	   5.09		 45.33   	 -25.43		
  8.57   	   0.00		 45.23   	 -25.43		
  8.57   	  -5.09		 45.13   	 -20.35		
  8.55   	  -5.09		 45.05   	 -20.35		
  8.52   	 -10.17		 44.96   	 -20.35		
  8.48   	 -10.17		 44.88   	 -15.26		
  8.44   	 -10.17		 44.82   	 -20.35		
  8.40   	  -5.09		 44.74   	 -15.26		
  8.38   	  -5.09		 44.68   	 -20.35		
  8.36(E)	   0.00		 44.60   	 -20.35		
  8.36   	   0.00		 44.52   	 -20.35		
  8.36   	   5.09		 44.44   	 -20.35		
  8.38   	   5.09		 44.35   	 -20.35		
  8.40   	  15.26		 44.27   	 -20.35		
  8.46   	  15.26		 44.19   	 -25.43		
  8.52   	  20.35		 44.09   	 -20.35		
  8.61   	  30.52		 44.01   	 -20.35		
  8.73   	  35.61		 43.93   	 -20.35		
  8.87   	  50.86		 43.85   	 -20.35		
  9.07   	  66.12		 43.76   	 -15.26		
  9.34   	  91.56		 43.70   	 -20.35		
  9.70   	 127.16		 43.62   	 -15.26		
 10.21   	 152.59		 43.56   	 -15.26		
 10.82   	 188.20		 43.50   	 -15.26		
 11.58   	 218.72		 43.44   	 -15.26		
 12.45   	 310.27		 43.38   	 -20.35		
 13.69   	 325.53		 43.30   	 -20.35		
 14.99   	 345.88		 43.21   	 -20.35		
 16.38   	 350.97		 43.13   	 -20.35		
 17.78   	 361.14		 43.05   	 -15.26		
 19.23   	 356.05		 42.99   	 -20.35		
 20.65   	 350.97		 42.91   	 -20.35		
 22.05   	 340.79		 42.83   	 -15.26		
 23.42   	 330.62		 42.77   	 -15.26		
 24.74   	 310.27		 42.71   	 -15.26		
 25.98   	 295.01		 42.64   	 -15.26		
 27.16   	 274.67		 42.58   	 -15.26		
 28.26   	 259.41		 42.52   	 -15.26		
 29.30   	 244.15		 42.46   	 -10.17		
 30.27   	 228.89		 42.42   	 -15.26		
 31.19   	 208.54		 42.36   	 -15.26		
 32.02   	 203.46		 42.30   	 -10.17		
 32.84   	 188.20		 42.26   	 -15.26		
 33.59   	 178.03		 42.20   	 -15.26		
 34.30   	 172.94		 42.14   	 -15.26		
 34.99   	 162.77		 42.08   	 -15.26		
 35.65   	 162.77		 42.01   	 -15.26		
 36.30   	 157.68		 41.95   	 -15.26		
 36.93   	 152.59		 41.89   	 -15.26		
 37.54   	 147.51		 41.83   	 -15.26		
 38.13   	 157.68		 41.77   	 -15.26		
 38.76   	 152.59		 41.71   	  -5.09		
 39.37   	 147.51		 41.69(D)	   5.09		
 39.96   	 137.33		 41.71   	  20.35		
 40.51   	 132.25		 41.79   	  40.69		
 41.04   	 127.16		 41.95   	  61.04		
 41.55   	 122.07		 42.20   	  86.47		
 42.03   	 116.99		 42.54   	 116.99		
 42.50   	 111.90		 43.01   	 142.42		
 42.95   	 106.82		 43.58   	 178.03		
 43.38   	 101.73		 44.29   	 203.46		
 43.78   	 101.73		 45.11   	 223.80		
 44.19   	  96.64		 46.00   	 249.24		
 44.58   	  91.56		 47.00   	 264.50		
 44.94   	  91.56		 48.06   	 279.75		
 45.31   	  91.56		 49.18   	 279.75		
 45.68   	  86.47		 50.29   	 289.93		
 46.02   	  81.38		 51.45   	 284.84		
 46.35   	  81.38		 52.59   	 279.75		
 46.67   	  81.38		 53.71   	 269.58		
 47.00   	  76.30		 54.79   	 264.50		
 47.30   	  71.21		 55.85   	 254.32		
 47.59   	  71.21		 56.87   	 249.24		
 47.87   	  66.12		 57.86   	 239.06		
 48.14   	  61.04		 58.82   	 233.98		
 48.38   	  55.95		 59.76   	 228.89		
 48.61   	  55.95		 60.67   	 228.89		
 48.83   	  45.78		 61.59   	 223.80		
 49.01   	  40.69		 62.48   	 233.98		
 49.18   	  35.61		 63.42   	 228.89		
 49.32   	  30.52		 64.33   	 239.06		
